name,gender,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
John,Male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,4,4,3,3,2,2,2,4,4,3,4,4,4,5,6,6,7,6,6,7,7,8,8,8,9,8,9,10,11,11,12,12,10,14,16,15,13,15,15,15,15,14,14,17,17,18,18,19,19,20,26,26,27,28,27,26,26,28,27,26,28,27
Mary,Female,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,6,8,9,9,13,14,13,19,22,21,24,24,26,27,30,32,33,35,37,37,34,38,35,38,36,37,37,40,44,46,44,45,46,49,50,59,62,72,80,93,96,,,,,,,,,,,,
William,Male,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,6,7,7,9,9,10,10,11,12,13,13,14,15,15,16,16,16,15,15,16,15,16,19,20,18,19,20,18,19,14,14,11,10,11,11,8,11,10,8,8,5,5,3,5,5,5,5,3,3,3,4,5
Anna,Female,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,6,6,6,7,7,6,7,7,7,10,10,10,11,12,13,13,13,15,16,16,20,23,25,24,29,31,34,36,38,40,43,51,56,59,64,74,73,87,92,89,91,93,94,,98,,,,,,99,,100,100,,97,96,95,91,99,99,,,86,86,82,79,77,74,65,59,55,54,56,55,57,54,51,52,54,51,45,46,49,47,41,31,33,33,31,29,22,19,20,21,20,22,22,25,26,28,27,38,35,35,34,44,49,53,54,63,68
James,Male,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,3,3,3,4,4,4,4,4,3,3,4,3,3,2,3,4,5,4,5,5,5,5,5,7,6,6,7,7,7,8,9,9,8,7,9,14,14,17,17,17,18,19,18,19,18,18,17,17,16,15,17,18,19,17,14,13,9,7,5,4,4,6,6
Emma,Female,3,3,3,3,3,3,3,4,4,5,5,5,7,9,9,10,10,10,13,13,13,17,18,23,22,26,28,27,30,34,34,35,35,38,39,40,41,46,46,45,46,52,50,53,57,57,59,65,67,69,73,76,76,75,85,89,85,89,96,89,94,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,74,67,53,36,22,17,17,13,4,2,2,2,2,3,1,2,3,3,2,2,1,1,1,1,1,2,2
Charles,Male,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,7,7,7,7,7,7,7,7,6,7,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,6,6,6,6,6,6,6,7,7,7,7,9,9,9,9,9,9,9,9,10,11,11,11,11,11,13,13,15,16,17,20,20,20,20,19,21,22,23,23,23,25,26,26,27,28,29,31,31,33,33,34,34,35,37,36,38,38,43,43,43,44,43,49,48,50,51,55,58,57,56,56,60,62,63,64,63,61,62,57,51,50,51,48,52,52,46
Elizabeth,Female,4,4,4,4,4,4,4,3,3,3,3,4,3,5,5,5,7,6,7,7,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,8,8,10,9,9,11,10,11,13,14,15,15,16,17,17,18,17,18,17,17,18,20,21,22,23,23,26,25,25,26,25,24,23,22,21,20,21,22,22,22,21,18,19,20,20,16,16,16,13,17,16,18,19,15,13,12,15,16,13,14,11,9,9,8,10,10,9,10,10,10,10,9,9,9,9,9,10,10,9,10,10,9,9,11,9,10,11,11,10,9,11,12,11,10,10,13,13,13,13,13,14,16
George,Male,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,9,10,11,11,11,13,14,14,14,15,16,16,16,18,20,22,22,22,24,26,27,29,31,32,33,31,32,34,33,34,37,36,36,38,40,42,44,46,49,53,53,57,58,57,60,61,62,65,68,72,74,77,78,79,79,87,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnie,Female,5,6,5,5,5,6,5,6,6,6,8,8,12,12,12,13,16,21,21,25,22,26,29,35,35,35,39,40,47,50,50,52,60,63,67,68,71,75,88,80,87,96,91,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
